symbol,score,close,pivot,dist_to_pivot_pct,box_span_pct,atr_ratio,vol5_to_vol50,uptrend,within_20pct_high,nr7_today,inside_today,tv20_cr
NETWEB,0.1834,1964.6,2008.6,2.19,9.98,1.01,1.04,False,False,False,False,88.32
INOXINDIA,0.1821,1170.0,1279.0,8.52,10.51,1.03,0.84,False,True,False,False,9.91
COHANCE,0.1816,1002.0,1121.15,10.63,13.74,0.88,0.51,False,False,False,False,23.5
KAYNES,0.1812,5547.5,6090.0,8.91,12.35,0.78,0.63,False,False,False,False,189.71
JUBLPHARMA,0.1797,1153.6,1242.0,7.12,12.92,0.99,0.68,False,True,False,False,35.28
RAYMONDLSL,0.1785,1116.0,1292.7,13.67,19.96,0.94,0.45,False,False,False,False,38.2
BANDHANBNK,0.1781,173.9,188.15,7.57,9.11,0.97,0.85,False,False,False,False,154.4
NAUKRI,0.1773,1412.3,1485.0,4.9,9.28,0.93,0.89,False,False,False,False,228.14
TRITURBINE,0.1762,607.1,675.2,10.09,12.82,0.87,0.55,False,False,False,False,67.93
ARE&M,0.176,994.0,1033.25,3.8,7.02,1.02,1.11,False,False,False,False,58.4
WHIRLPOOL,0.1747,1385.4,1473.8,6.0,9.54,0.96,0.82,False,False,False,False,37.05
TCS,0.1746,3057.0,3272.0,6.57,7.55,0.92,1.18,False,False,False,False,993.85
GVT&D,0.1705,2480.0,2569.8,3.49,12.29,1.04,0.97,True,True,False,False,105.17
SWSOLAR,0.1698,291.0,341.0,14.66,21.25,0.91,0.54,False,False,False,False,126.51
JUSTDIAL,0.1694,850.2,957.9,11.24,13.49,0.89,0.57,False,False,False,True,25.46
DALBHARAT,0.1669,2198.9,2343.0,6.15,9.32,1.28,1.5,True,True,True,False,86.06
KIMS,0.1666,750.9,798.4,5.95,13.34,1.04,1.01,True,True,False,False,50.81
PREMIERENE,0.1661,1050.7,1136.4,7.54,9.56,1.0,0.81,False,False,False,False,135.16
ADANIGREEN,0.1639,1016.4,1054.9,3.65,8.06,0.94,1.13,False,False,False,False,200.73
CGPOWER,0.1635,660.0,695.5,5.1,7.58,0.95,1.34,False,False,False,False,201.26
ETERNAL,0.1629,306.2,314.45,2.62,18.88,1.28,1.01,True,True,False,False,1307.29
CARBORUNIV,0.1615,930.0,1004.6,7.43,8.97,0.9,1.06,False,False,False,False,12.56
METROPOLIS,0.1614,1945.6,2064.0,5.74,12.08,1.36,0.53,False,True,False,False,59.92
PEL,0.1606,1300.0,1351.0,3.77,11.04,1.32,0.98,True,True,False,True,142.28
ELECON,0.1592,584.6,637.85,8.35,13.32,0.87,0.66,False,False,False,False,51.06
GODFRYPHLP,0.1574,8952.0,9828.0,8.91,16.26,1.02,1.08,True,True,False,False,200.0
CLEAN,0.1558,1238.0,1489.9,16.91,21.28,0.95,0.58,False,False,True,True,17.69
M&MFIN,0.1551,251.9,267.45,5.81,8.38,0.89,1.49,False,False,False,False,79.95
ZFCVINDIA,0.1522,13240.0,14185.0,6.66,10.46,0.85,0.96,False,False,False,True,12.63
TECHM,0.1514,1458.0,1611.0,9.5,11.98,0.98,0.87,False,True,False,False,333.53
SBFC,0.1513,106.79,120.0,11.01,12.83,0.89,0.97,False,True,False,False,30.31
CAMPUS,0.1505,273.3,304.4,10.22,13.3,1.27,0.3,False,False,False,False,29.87
BBTC,0.1491,1935.1,2074.0,6.7,8.82,0.87,1.43,False,False,False,False,12.61
SAMMAANCAP,0.1489,125.38,139.54,10.15,13.98,0.96,0.61,False,False,False,False,226.36
SCHAEFFLER,0.1486,4039.1,4374.9,7.68,9.9,0.98,1.2,False,True,False,False,40.83
IGL,0.1478,205.0,222.21,7.74,10.81,0.79,1.0,False,False,False,False,78.82
HONAUT,0.1477,38195.0,41075.0,7.01,9.19,0.93,1.07,False,False,False,False,22.68
ZENSARTECH,0.1477,811.9,857.3,5.3,10.67,1.0,1.07,False,True,False,False,66.41
CDSL,0.1469,1542.1,1753.9,12.08,15.41,0.92,0.67,False,False,False,False,505.67
AIIL,0.1457,2825.0,2896.0,2.45,22.3,1.54,3.17,True,True,False,False,120.8
JMFINANCIL,0.1449,163.35,181.4,9.95,13.43,1.07,1.09,True,True,True,False,121.56
CANFINHOME,0.1446,747.9,823.9,9.22,10.63,0.94,0.86,False,False,False,False,18.98
THERMAX,0.1441,3794.0,4091.8,7.28,17.71,1.21,0.34,False,False,False,False,128.1
ATUL,0.1439,6717.0,7675.0,12.48,18.02,1.16,0.68,False,True,True,False,32.96
ICICIPRULI,0.1434,615.7,693.5,11.22,13.16,1.1,0.46,False,False,False,False,101.34
AUBANK,0.1428,740.25,820.8,9.81,13.43,1.1,0.76,False,True,False,False,198.89
AWL,0.1426,264.95,286.0,7.36,9.83,1.06,0.84,False,False,True,False,115.11
RRKABEL,0.1416,1390.0,1522.0,8.67,14.54,1.07,0.81,True,False,False,False,41.22
INOXWIND,0.141,156.55,175.25,10.67,14.72,0.81,0.84,False,False,False,False,111.87
AFFLE,0.1317,1965.0,2025.0,2.96,12.82,1.06,1.2,True,True,False,False,53.55
AARTIIND,0.1314,442.1,459.65,3.82,9.53,0.88,1.18,False,False,False,False,51.76
LICHSGFIN,0.1306,599.0,646.5,7.35,10.3,0.96,0.97,False,False,False,False,105.94
GRANULES,0.128,488.0,511.75,4.64,10.31,0.97,0.97,False,False,False,False,39.33
PRESTIGE,0.1278,1641.0,1814.0,9.54,13.58,0.97,1.03,False,True,False,True,161.11
KFINTECH,0.1265,1128.0,1308.3,13.78,17.18,0.72,1.04,False,False,False,False,115.05
CHALET,0.1256,899.0,953.85,5.75,10.97,1.06,1.07,False,True,False,False,17.71
ECLERX,0.1251,3725.9,3920.9,4.97,12.93,1.08,3.05,True,True,False,True,33.65
NEWGEN,0.1246,859.4,1109.9,22.57,32.58,0.79,0.96,False,False,False,True,51.09
MPHASIS,0.1241,2782.0,2911.0,4.43,11.04,1.26,1.9,True,True,False,False,142.76
NEULANDLAB,0.124,13848.0,15500.0,10.66,24.36,1.35,0.46,False,False,True,False,225.69
UTIAMC,0.1233,1325.0,1494.8,11.36,14.75,1.24,1.06,True,True,False,False,58.62
GSPL,0.1208,319.95,348.0,8.06,9.35,0.95,1.19,False,False,False,False,19.91
SONACOMS,0.1203,471.95,496.45,4.94,10.8,1.04,0.86,False,False,False,False,227.1
BAJFINANCE,0.1181,887.0,970.95,8.65,10.99,0.99,1.48,False,True,False,False,703.31
GODREJAGRO,0.1117,842.5,876.35,3.86,12.63,1.14,2.96,True,True,False,False,32.56
CHOLAHLDNG,0.1115,1923.8,2169.0,11.3,14.98,0.97,1.12,False,True,True,True,45.74
CREDITACC,0.1099,1240.0,1401.3,11.51,13.65,1.15,2.26,True,True,False,False,134.73
INFY,0.1089,1513.5,1612.0,6.11,8.56,1.09,1.36,False,False,False,True,1119.32
WESTLIFE,0.1089,756.6,806.4,6.18,9.55,1.23,0.91,False,False,False,False,10.36
LODHA,0.1074,1248.0,1461.5,14.61,21.71,0.92,4.05,False,True,False,True,289.56
GODREJPROP,0.1072,2153.0,2407.9,10.59,14.3,0.89,0.95,False,False,False,True,178.95
CYIENT,0.1064,1230.9,1317.7,6.59,9.07,1.04,2.08,False,False,False,False,56.2
CANBK,0.1058,110.15,117.5,6.26,10.17,1.15,1.62,False,True,True,False,298.46
HINDCOPPER,0.1012,258.25,281.8,8.36,14.19,0.94,0.91,False,False,False,False,121.5
SAIL,0.1002,126.14,138.75,9.09,12.25,0.96,1.2,False,True,False,False,165.07
AADHARHFC,0.1,508.05,537.5,5.48,17.52,1.41,2.29,True,True,False,False,72.28
PAYTM,0.1,1075.5,1128.5,4.7,17.98,1.29,2.24,True,True,False,True,612.1
GMDCLTD,0.1,412.0,472.4,12.79,23.69,1.42,1.24,True,True,False,False,268.21
SIGNATURE,0.0988,1130.0,1272.9,11.23,13.44,0.95,0.92,False,False,False,False,42.61
KAJARIACER,0.097,1170.0,1268.5,7.77,10.12,1.23,1.44,True,False,True,True,84.99
INTELLECT,0.0955,1034.0,1210.0,14.55,18.76,0.98,1.3,False,True,False,True,45.11
LATENTVIEW,0.0912,416.95,467.0,10.72,15.33,1.29,0.65,False,False,False,False,37.71
RHIM,0.0911,495.0,531.9,6.94,12.1,1.0,0.91,False,False,False,True,46.72
COLPAL,0.0907,2216.9,2412.0,8.09,9.83,1.02,1.91,False,False,False,False,167.74
WIPRO,0.0906,251.35,271.9,7.56,9.81,1.26,0.99,False,False,False,False,262.14
AXISBANK,0.0893,1065.0,1179.9,9.74,11.69,1.05,1.45,False,True,False,False,1038.22
ZEEL,0.089,118.9,146.99,19.11,25.48,1.11,0.77,False,False,False,False,231.69
MGL,0.0884,1391.5,1562.0,10.92,14.44,0.98,0.94,False,False,False,False,102.37
SHRIRAMFIN,0.0852,639.0,688.0,7.12,13.51,1.03,1.64,False,True,False,False,364.28
IPCALAB,0.0841,1488.0,1595.0,6.71,11.87,1.05,1.81,False,True,False,False,39.13
INDUSINDBK,0.0833,813.8,890.9,8.65,12.4,1.03,0.91,False,False,False,False,391.05
NLCINDIA,0.0799,239.95,248.2,3.32,9.34,1.14,1.47,False,False,False,True,42.02
BIKAJI,0.077,769.0,814.65,5.6,12.6,1.07,1.98,True,False,False,False,25.7
COFORGE,0.0766,1717.0,1915.0,10.34,15.23,1.07,2.46,False,True,False,True,372.76
VGUARD,0.0746,380.6,409.75,7.11,10.16,1.1,1.16,False,False,False,False,12.64
BSOFT,0.0729,410.05,436.4,6.04,13.27,1.02,0.99,False,False,False,False,56.16
PCBL,0.0715,390.7,430.0,9.14,12.52,1.04,0.98,False,False,False,False,80.19
ACC,0.0687,1829.0,1998.0,8.46,9.68,1.15,1.82,False,False,True,True,78.23
HCLTECH,0.0673,1475.0,1642.4,10.19,12.3,0.88,1.42,False,False,True,False,596.07
SBICARD,0.0664,819.95,1004.75,18.39,22.65,1.04,1.01,False,False,False,False,110.13
PNBHOUSING,0.0646,1010.6,1116.5,9.48,12.62,1.13,1.45,False,True,False,False,115.74
SWANENERGY,0.0643,484.75,526.7,7.96,16.24,1.21,0.81,False,False,False,False,278.28
KOTAKBANK,0.0633,1970.2,2233.6,11.79,14.24,1.14,1.35,False,True,False,False,738.13
CEATLTD,0.0631,3353.0,4044.0,17.09,23.0,1.17,1.16,False,True,False,True,83.36
BRIGADE,0.0607,1015.7,1142.0,11.06,14.58,0.91,1.31,False,False,False,False,44.72
CHENNPETRO,0.055,703.2,799.7,12.07,17.73,1.21,1.17,True,False,False,True,290.71
ABREL,0.0545,1937.5,2253.5,14.02,16.91,0.94,1.34,False,False,True,True,35.26
