symbol,score,close,pivot,dist_to_pivot_pct,box_span_pct,atr_ratio,vol5_to_vol50,uptrend,within_20pct_high,nr7_today,inside_today,tv20_cr,ema_9,ema_50,above_ema_9,above_ema_50,ema_trend
RCF,0.2891,152.99,159.8,4.26,7.58,0.83,0.59,False,False,False,False,21.49,153.48,153.8,False,False,bearish
FINCABLES,0.288,908.0,964.8,5.89,9.21,0.7,0.51,False,False,False,False,16.09,916.54,940.63,False,False,bearish
JSL,0.2878,677.9,704.0,3.71,7.52,0.87,0.86,False,True,False,False,47.62,673.05,679.86,True,False,bearish
SBIN,0.2862,798.85,842.5,5.18,6.18,1.02,0.88,False,True,True,False,761.8,810.34,815.97,False,False,bearish
SHREECEM,0.2855,30510.0,32490.0,6.09,7.8,1.06,0.59,False,True,True,False,78.54,31111.35,31188.31,False,False,bearish
ABSLAMC,0.2853,875.0,901.25,2.91,7.23,1.01,1.08,True,True,False,True,36.87,868.08,800.62,True,True,bullish
TORNTPOWER,0.2849,1327.2,1421.1,6.61,7.92,0.74,0.67,False,False,False,True,40.38,1351.66,1400.69,False,False,bearish
JYOTHYLAB,0.2847,334.0,359.8,7.17,9.4,0.8,0.38,False,False,False,False,20.91,339.29,348.33,False,False,bearish
TIMKEN,0.2833,3358.0,3575.0,6.07,7.13,0.74,1.1,True,False,False,False,37.32,3431.57,3387.75,False,False,bearish
RVNL,0.2828,361.1,391.45,7.75,10.92,0.53,0.5,False,False,False,False,139.99,368.89,380.08,False,False,bearish
BAJAJ-AUTO,0.2814,8127.0,8470.0,4.05,5.35,0.96,0.8,False,False,False,False,222.33,8216.81,8264.35,False,False,bearish
PHOENIXLTD,0.2805,1511.5,1545.3,2.19,7.34,0.74,1.87,False,False,False,False,177.7,1494.59,1501.84,True,True,bullish
GRAVITA,0.2799,1876.7,1897.6,1.1,10.37,0.81,1.76,False,False,False,True,54.11,1801.73,1803.62,True,True,bullish
PRAJIND,0.2788,470.0,512.0,8.2,9.36,0.76,0.48,False,False,False,False,22.97,485.83,496.41,False,False,bearish
MARICO,0.2777,698.25,745.0,6.28,7.85,0.97,0.74,False,True,False,True,133.06,709.0,722.47,False,False,bearish
ROUTE,0.2776,913.6,1028.0,11.13,14.11,0.66,0.21,False,False,False,False,10.63,936.9,981.27,False,False,bearish
SARDAEN,0.2775,445.1,460.45,3.33,7.0,1.05,0.48,False,False,False,False,16.14,442.89,442.61,True,True,bearish
TATACOMM,0.2773,1728.2,1813.1,4.68,6.72,1.14,0.71,True,False,False,False,129.93,1734.29,1745.45,False,False,bearish
ASTRAL,0.2765,1420.0,1521.9,6.7,8.08,0.71,0.74,False,False,False,False,85.8,1455.96,1471.12,False,False,bearish
LTTS,0.276,4282.0,4500.0,4.84,7.66,0.91,0.56,False,False,False,False,40.05,4299.44,4339.51,False,False,bearish
HUDCO,0.276,217.15,235.88,7.94,10.83,0.62,0.44,False,False,False,False,69.43,222.06,228.8,False,False,bearish
WOCKPHARMA,0.2759,1698.0,1867.0,9.05,11.9,0.93,0.5,True,True,False,False,135.03,1713.31,1715.04,False,False,bearish
DATAPATTNS,0.2758,2584.9,2934.7,11.92,15.66,0.65,0.23,False,False,False,False,63.72,2713.78,2759.96,False,False,bearish
MCX,0.2747,7842.0,8443.0,7.12,10.57,0.84,0.52,False,True,False,False,442.91,8057.6,8251.56,False,False,bearish
