symbol,close,volume,high,low,open,ema_4,ema_9,ema_18,ema_50,ema_200,above_ema_9,above_ema_50,above_ema_200,ema_trend
ONGC,241.44,6157824,242.51,239.82,240.02,241.75,242.78,243.19,243.24,243.14,False,False,False,bearish
HINDCOPPER,258.4,5737676,260.45,245.15,247.15,259.25,263.1,264.62,265.08,265.05,False,False,False,bearish
INDUSTOWER,390.55,3790547,392.3,381.95,383.0,392.1,396.29,399.16,401.2,401.97,False,False,False,bearish
ZEEL,118.71,12255861,120.22,116.7,118.99,122.4,128.35,133.44,138.33,140.94,False,False,False,bearish
MFSL,1504.9,965548,1528.6,1499.3,1524.0,1521.38,1535.15,1549.53,1567.18,1578.37,False,False,False,bearish
JSL,677.85,2128200,690.0,653.8,659.9,669.84,673.05,676.67,679.86,681.32,True,False,False,bearish
PNB,109.29,13189443,109.5,106.25,106.25,108.89,109.75,110.2,110.16,109.9,False,False,False,bearish
TITAGARH,869.6,1650884,876.35,838.45,850.0,875.78,897.06,915.72,934.79,945.67,False,False,False,bearish
ANANTRAJ,578.4,2468347,581.0,547.4,560.0,572.04,572.98,571.25,564.06,557.39,True,True,True,bearish
BANKBARODA,242.26,5783053,243.38,239.02,239.2,242.42,242.72,242.13,240.61,239.37,False,True,True,bearish
DIVISLAB,6676.5,207710,6688.0,6473.0,6580.0,6640.45,6668.48,6718.17,6784.74,6827.54,True,False,False,bearish
INDIANB,630.5,2187783,632.85,624.05,627.0,632.28,633.36,633.29,632.43,631.61,False,False,False,bearish
SRF,3110.0,441091,3122.9,3042.1,3045.0,3098.69,3127.81,3164.75,3213.74,3246.37,False,False,False,bearish
DABUR,518.3,2646055,525.6,514.65,524.65,517.49,518.15,519.82,521.48,522.19,True,False,False,bearish
DLF,800.35,1706638,805.0,786.1,786.5,809.1,821.32,827.42,830.55,831.37,False,False,False,bearish
KAJARIACER,1162.7,1150968,1183.3,1154.2,1163.0,1175.75,1189.39,1194.97,1196.27,1195.76,False,False,False,bearish
VEDL,439.5,3034968,441.5,433.4,437.05,442.36,444.83,444.6,442.28,440.15,False,False,False,bearish
SYNGENE,711.4,1870718,712.75,687.4,692.0,693.5,680.24,666.49,649.42,638.59,True,True,True,bullish
ACMESOLAR,286.65,4606747,303.69,285.65,295.83,285.27,284.1,284.47,285.73,286.69,True,True,False,bullish
POLICYBZR,1790.1,735601,1807.0,1756.9,1789.9,1789.98,1797.06,1806.53,1819.65,1828.51,False,False,False,bearish
EIDPARRY,1208.8,1074779,1222.2,1176.2,1185.3,1189.93,1176.44,1159.41,1134.55,1117.05,True,True,True,bullish
GMDCLTD,411.1,3147060,415.95,398.0,408.8,421.71,422.34,413.33,399.61,390.89,False,True,True,bearish
MANKIND,2554.7,496881,2600.0,2517.0,2526.5,2571.57,2591.48,2592.07,2572.76,2553.03,False,False,True,bearish
APLAPOLLO,1514.9,819000,1527.6,1494.0,1503.0,1552.62,1605.86,1647.57,1688.19,1710.73,False,False,False,bearish
EICHERMOT,5470.5,217256,5484.0,5353.0,5390.0,5448.2,5484.72,5534.57,5596.95,5636.4,False,False,False,bearish
IDFCFIRSTB,70.31,16716062,71.49,70.21,70.46,71.04,72.08,73.31,75.01,76.16,False,False,False,bearish
ABB,5579.0,209954,5592.0,5478.0,5545.0,5609.43,5655.51,5710.52,5798.88,5865.3,False,False,False,bearish
IREDA,150.49,7688547,150.97,147.11,150.49,152.26,155.05,158.74,164.18,168.04,False,False,False,bearish
JUBLPHARMA,1152.9,993855,1225.0,1093.0,1176.0,1170.56,1181.87,1184.2,1179.58,1174.26,False,False,False,bearish
INOXWIND,156.3,7298096,156.85,152.21,155.0,157.23,160.38,164.63,170.55,174.56,False,False,False,bearish
DELHIVERY,421.95,2667730,430.55,413.85,428.75,427.3,427.85,424.83,419.79,416.43,False,True,True,bearish
CAMS,3915.6,286479,3951.7,3872.0,3889.0,3994.01,4081.34,4131.02,4166.43,4182.38,False,False,False,bearish
SAMMAANCAP,125.26,8870907,126.2,122.01,124.5,126.93,129.01,130.08,131.06,131.72,False,False,False,bearish
DMART,3999.0,277427,4007.1,3931.0,3976.3,3994.34,4017.74,4053.71,4110.36,4151.68,False,False,False,bearish
NATIONALUM,189.68,5829470,189.9,186.01,187.5,191.3,192.08,191.48,190.21,189.31,False,False,True,bearish
HAVELLS,1510.3,728746,1517.0,1491.3,1507.1,1521.42,1530.26,1532.27,1531.45,1530.25,False,False,False,bearish
ADANIPORTS,1395.9,782760,1398.7,1373.6,1376.0,1397.04,1411.19,1423.41,1434.86,1440.89,False,False,False,bearish
PREMIERENE,1052.6,1034729,1076.0,1041.3,1053.0,1064.81,1072.85,1083.1,1099.28,1110.95,False,False,False,bearish
YESBANK,19.4,56102137,19.54,19.31,19.34,19.54,19.74,19.83,19.84,19.82,False,False,False,bearish
ADANIENT,2547.9,424781,2557.4,2507.5,2529.0,2554.8,2571.68,2579.52,2581.98,2581.48,False,False,False,bearish
SYRMA,746.25,1438218,755.0,740.85,746.35,734.67,719.82,703.84,682.85,668.86,True,True,True,bullish
SBILIFE,1833.4,585182,1851.8,1822.9,1848.0,1830.59,1822.67,1818.44,1814.3,1811.43,True,True,True,bullish
BANDHANBNK,173.44,6143547,176.75,172.3,175.0,176.54,178.71,179.31,178.98,178.49,False,False,False,bearish
KFINTECH,1126.3,934848,1149.0,1114.5,1135.0,1165.14,1206.75,1238.54,1268.93,1285.64,False,False,False,bearish
SUPREMEIND,4325.4,242347,4375.0,4300.2,4311.0,4286.55,4245.52,4212.97,4178.14,4157.3,True,True,True,bullish
PHOENIXLTD,1508.3,688341,1512.9,1477.7,1506.2,1501.12,1494.59,1495.62,1501.84,1507.24,True,True,True,bullish
PGEL,806.95,1284953,810.0,780.4,782.0,800.08,798.82,794.27,784.47,776.68,True,True,True,bullish
PAGEIND,47215.0,21249,47400.0,46220.0,46350.0,46876.97,47013.64,47343.1,47815.02,48122.9,True,False,False,bearish
TATACONSUM,1061.6,944513,1076.2,1054.0,1059.9,1063.31,1070.44,1076.9,1083.53,1087.4,False,False,False,bearish
LTIM,5056.5,198271,5089.0,5006.0,5045.0,5094.81,5143.59,5182.43,5221.04,5242.48,False,False,False,bearish
JPPOWER,21.43,46578689,21.43,20.12,20.41,21.03,21.53,22.15,22.71,22.96,False,False,False,bearish
GRAVITA,1867.4,531020,1884.9,1815.1,1830.0,1834.24,1799.87,1780.44,1773.18,1774.53,True,True,True,bullish
BHEL,240.55,4090733,241.6,234.25,236.25,241.97,246.49,251.09,256.55,259.96,False,False,False,bearish
ADANIENSOL,826.95,1171033,830.55,800.35,819.0,830.09,845.03,859.9,876.75,887.03,False,False,False,bearish
GODREJCP,1210.6,789889,1215.9,1202.2,1214.8,1217.95,1231.78,1248.28,1268.74,1281.62,False,False,False,bearish
