symbol,reason,score,close,pivot,dist_to_pivot_pct,box_span_pct,atr_ratio,vol5_to_vol50,uptrend,within_20pct_high,nr7_today,inside_today,tv20_cr
TATACOMM,ranked,0.2773,1728.2,1813.1,4.68,6.72,1.14,0.71,True,False,False,False,129.93
TATACONSUM,ranked,0.2184,1061.6,1109.7,4.33,6.15,1.09,1.94,False,True,False,False,132.52
TATAELXSI,ranked,0.2418,6086.0,6439.5,5.49,7.59,1.06,0.59,False,False,False,False,159.31
TATAINVEST,ranked,0.3776,6710.0,6950.0,3.45,7.06,1.01,0.51,True,True,False,True,24.78
TATAMOTORS,ranked,0.3341,691.75,706.5,2.09,5.1,0.95,1.01,False,False,True,False,535.48
TATAPOWER,ranked,0.3184,399.9,416.75,4.04,5.81,0.91,0.88,False,True,False,True,227.68
TATASTEEL,ranked,0.5194,162.22,165.6,2.04,5.3,0.83,0.63,True,True,False,False,376.06
TATATECH,ranked,0.3569,707.45,745.4,5.09,6.95,0.72,0.41,False,False,False,False,93.31
TBOTEK,ranked,0.2532,1390.0,1458.0,4.66,10.58,0.84,0.34,False,False,False,False,17.32
TCS,ranked,0.1746,3057.0,3272.0,6.57,7.55,0.92,1.18,False,False,False,False,993.85
TECHM,ranked,0.1514,1458.0,1611.0,9.5,11.98,0.98,0.87,False,True,False,False,333.53
TECHNOE,ranked,0.2658,1460.0,1589.1,8.12,13.36,0.81,0.39,False,True,False,False,31.78
TEJASNET,ranked,0.0239,594.05,703.8,15.59,23.1,1.1,1.18,False,False,False,False,72.39
THERMAX,ranked,0.1441,3794.0,4091.8,7.28,17.71,1.21,0.34,False,False,False,False,128.1
TIINDIA,ranked,0.3238,2873.2,3005.0,4.39,7.35,0.74,0.53,False,False,False,False,77.17
TIMKEN,ranked,0.2833,3358.0,3575.0,6.07,7.13,0.74,1.1,True,False,False,False,37.32
TITAGARH,ranked,0.194,874.0,959.0,8.86,15.73,0.83,0.5,False,False,False,True,109.99
TITAN,ranked,0.4241,3380.0,3490.0,3.15,4.32,0.75,0.67,False,True,False,False,311.81
TORNTPHARM,ranked,0.3871,3779.2,3784.8,0.15,12.45,0.96,1.43,True,True,False,False,193.45
TORNTPOWER,ranked,0.2849,1327.2,1421.1,6.61,7.92,0.74,0.67,False,False,False,True,40.38
TRENT,ranked,0.2221,5004.0,5470.0,8.52,10.24,0.59,0.89,False,False,False,False,677.09
TRIDENT,below_price_floor,,30.9,,,,,,,,,,
TRITURBINE,ranked,0.1762,607.1,675.2,10.09,12.82,0.87,0.55,False,False,False,False,67.93
TRIVENI,ranked,0.3741,368.05,382.0,3.65,6.3,0.63,0.53,False,False,False,False,15.2
TTML,not_found_in_instruments,,,,,,,,,,,,
TVSMOTOR,ranked,0.2916,2815.0,2909.8,3.26,6.43,0.94,0.92,False,True,True,True,161.19
UBL,ranked,0.1997,1978.0,2110.0,6.26,8.49,0.9,2.21,False,True,False,False,36.22
UCOBANK,below_price_floor,,30.24,,,,,,,,,,
ULTRACEMCO,ranked,0.431,12230.0,12714.0,3.81,4.84,0.82,0.77,True,True,True,False,320.63
UNIONBANK,ranked,0.2053,133.05,144.7,8.05,10.35,0.81,1.01,False,True,False,False,181.45
UNITDSPR,ranked,0.3058,1317.0,1399.9,5.92,7.68,0.63,0.73,False,False,False,False,145.51
UNOMINDA,ranked,0.3278,1075.0,1143.2,5.97,9.39,0.8,0.73,True,True,False,False,51.47
UPL,ranked,0.2352,724.6,735.85,1.53,12.3,1.14,1.4,True,True,False,True,187.68
USHAMART,ranked,0.2632,379.7,398.25,4.66,10.6,0.99,0.39,False,True,False,False,18.48
UTIAMC,ranked,0.1233,1325.0,1494.8,11.36,14.75,1.24,1.06,True,True,False,False,58.62
VBL,ranked,0.2347,512.7,514.8,0.41,12.64,1.11,1.21,False,False,False,False,399.07
VEDL,ranked,0.4481,440.0,457.35,3.79,5.44,0.7,0.42,False,True,False,False,337.13
VGUARD,ranked,0.0746,380.6,409.75,7.11,10.16,1.1,1.16,False,False,False,False,12.64
VIJAYA,ranked,0.05,1118.35,1164.7,3.98,15.92,1.53,5.01,False,True,False,True,61.65
VMM,insufficient_history,,,,,,,,,,,,
VOLTAS,ranked,0.3084,1333.3,1400.0,4.76,7.41,0.8,0.54,False,False,False,False,148.34
VTL,ranked,0.195,462.5,506.6,8.71,10.92,0.9,0.57,False,False,True,False,35.01
WAAREEENER,insufficient_history,,,,,,,,,,,,
WELCORP,ranked,0.3221,924.0,946.75,2.4,9.67,1.1,0.64,True,True,False,False,67.09
WELSPUNLIV,ranked,0.3084,136.75,144.56,5.4,8.78,0.7,0.45,False,False,False,False,54.25
WESTLIFE,ranked,0.1089,756.6,806.4,6.18,9.55,1.23,0.91,False,False,False,False,10.36
WHIRLPOOL,ranked,0.1747,1385.4,1473.8,6.0,9.54,0.96,0.82,False,False,False,False,37.05
WIPRO,ranked,0.0906,251.35,271.9,7.56,9.81,1.26,0.99,False,False,False,False,262.14
WOCKPHARMA,ranked,0.2759,1698.0,1867.0,9.05,11.9,0.93,0.5,True,True,False,False,135.03
YESBANK,below_price_floor,,19.43,,,,,,,,,,
ZEEL,ranked,0.089,118.9,146.99,19.11,25.48,1.11,0.77,False,False,False,False,231.69
ZENSARTECH,ranked,0.1477,811.9,857.3,5.3,10.67,1.0,1.07,False,True,False,False,66.41
ZENTEC,ranked,0.2575,1606.2,1925.0,16.56,19.85,0.68,0.3,False,False,True,False,48.74
ZFCVINDIA,ranked,0.1522,13240.0,14185.0,6.66,10.46,0.85,0.96,False,False,False,True,12.63
ZYDUSLIFE,ranked,0.5745,995.6,997.95,0.24,4.66,0.94,0.86,True,False,False,False,85.09
